source_code;source_concept_id;source_vocabulary_id;source_code_description;target_concept_id;target_vocabulary_id;valid_start_date;valid_end_date;invalid_reason
A;0;Ad Occasion Obs;Verlegung mit Behandlungsdauer im verlegenden Krankenhaus bis zu 24 Stunden;4164916;SNOMED;2000-01-01;2099-12-31;
B;0;Ad Occasion Obs;Begleitperson oder mitaufgenommene Pflegekraft;4194310;SNOMED;2000-01-01;2099-12-31;
E;0;Ad Occasion Obs;Einweisung durch einen Arzt;4138807;SNOMED;2000-01-01;2099-12-31;
G;0;Ad Occasion Obs;Geburt;4216316;SNOMED;2000-01-01;2099-12-31;
N;0;Ad Occasion Obs;Notfall;4079617;SNOMED;2000-01-01;2099-12-31;
R;0;Ad Occasion Obs;Aufnahme nach vorausgehender Behandlung in einer Rehabilitationseinrichtung;4146925;SNOMED;2000-01-01;2099-12-31;
V;0;Ad Occasion Obs;Verlegung mit Behandlungsdauer im verlegenden Krankenhaus länger als 24 Stunden;4164916;SNOMED;2000-01-01;2099-12-31;
Z;0;Ad Occasion Obs;Einweisung durch einen Zahnarzt;4123917;SNOMED;2000-01-01;2099-12-31;
01;0;Admission Reason 1&2;Krankenhausbehandlung, vollstationär;4214577;SNOMED;2000-01-01;2099-12-31;
02;0;Admission Reason 1&2;Krankenhausbehandlung, vollstationär mit vorausgegangener vorstationärer Behandlung;4010105;SNOMED;2000-01-01;2099-12-31;
03;0;Admission Reason 1&2;Krankenhausbehandlung, teilstationär;4123929;SNOMED;2000-01-01;2099-12-31;
04;0;Admission Reason 1&2;Vorstationäre Behandlung ohne anschließende vollstationäre Behandlung;4083346;SNOMED;2000-01-01;2099-12-31;
05;0;Admission Reason 1&2;Stationäre Entbindung;4214577;SNOMED;2000-01-01;2099-12-31;
06;0;Admission Reason 1&2;Geburt;4216316;SNOMED;2000-01-01;2099-12-31;
07;0;Admission Reason 1&2;Wiederaufnahme nach Komplikationen;4213258;SNOMED;2000-01-01;2099-12-31;
